4192317,2.42
4192318,1.09
4192319,13.57
4192320,1.40
4192321,0.00
4192322,1.09
4192323,5.84
4192324,1.46
4192325,5.91
4192326,3.93
4192327,2.88
4192328,3.37
4192329,8.39
4192330,5.23
4192331,5.78
4192332,1.86
4192333,1.15
4192334,1.84
4192335,0.00
4192336,16.41
4192337,9.66
4192338,1.01
4192339,1.24
4192340,1.33
4192341,1.40
4192342,368.63
4192343,2.33
4192344,1.20
4192345,3.22
4192346,1.77
4192347,1.01
4192348,4.87
4192349,5.35
4192350,7.96
4192351,4.13
4192352,1.99
4192353,2.73
4192354,1.77
4192355,1.19
4192356,1.97
4192357,1.21
4192358,1.51
4192359,2.21
4192360,1.03
4192361,7.76
4192362,1.67
4192363,2.15
4192364,1.01
4192365,1.32
4192366,3.38
4192367,22.55
4192368,2.62
4192369,1.35
4192370,234.84
4192371,1.09
4192372,0.00
4192373,5.56
4192374,8.03
4192375,1.09
4192376,1.20
4192377,1.26
4192378,2.63
4192379,3.78
4192380,3.38
4192381,9.79
4192382,1.54
4192383,1.26
4192384,8.63
4192385,1.44
4192386,1.40
4192387,4.32
4192388,3.93
4192389,3.60
4192390,11.43
4192391,1.03
4192392,1.10
4192393,21.61
4192394,3.86
4192395,1.25
4192396,1.29
4192397,7.29
4192398,1.33
4192399,12.98
4192400,1.23
4192401,83.48
4192402,8.57
4192403,1.24
4192404,2.11
4192405,1.11
4192406,2.19
4192407,1.48
4192408,14.67
4192409,6.89
4192410,1.09
4192411,1.00
4192412,10.04
4192413,3.79
4192414,1.21
4192415,2.58
4192416,2.15
4192417,1.03
4192418,1.63
4192419,1.29
4192420,1.04
4192421,7.34
4192422,1.61
4192423,1.26
4192424,8.13
4192425,2.14
4192426,1.41
4192427,2.41
4192428,5.97
4192429,16.63
4192430,7.57
4192431,2.08
4192432,16.51
4192433,1.59
4192434,1.54
4192435,12.26
4192436,1.25
4192437,2.85
4192438,1.29
4192439,1.41
4192440,4.83
4192441,7.12
4192442,1.19
4192443,1.66
4192444,2.85
4192445,14.65
4192446,2.00
4192447,2.36
4192448,3.43
4192449,2.61
4192450,1.94
4192451,16.44
4192452,1.83
4192453,8.48
4192454,2.34
4192455,2.15
4192456,1.02
4192457,1.87
4192458,2.97
4192459,17.56
4192460,1.77
4192461,3.93
4192462,2.61
4192463,1.17
4192464,2.14
4192465,6.18
4192466,35.93
4192467,1.77
4192468,2.33
4192469,5.09
4192470,1.90
4192471,2.07
4192472,1.65
4192473,1.21
4192474,1.45
4192475,2.60
4192476,17.01
4192477,9.75
4192478,1.10
4192479,3.28
4192480,3.05
4192481,1.88
4192482,4.92
4192483,1.37
4192484,1.16
4192485,1.42
4192486,1.94
4192487,1.06
4192488,1.63
4192489,1.98
4192490,2.43
4192491,1.09
4192492,2.15
4192493,1.47
4192494,1.24
4192495,1.00
4192496,4.24
4192497,1.24
4192498,4.17
4192499,1.22
4192500,3.60
4192501,3.35
4192502,4.83
4192503,2.57
4192504,1.04
4192505,1.09
4192506,2.15
4192507,1.46
4192508,12.79
4192509,1.15
4192510,1.75
4192511,2.36
4192512,2.45
4192513,2.25
4192514,34.08
4192515,2.14
4192516,3.18
4192517,3.41
4192518,1.19
4192519,14.25
4192520,1.15
4192521,2.79
4192522,9.21
4192523,1.52
4192524,2.82
4192525,1.26
4192526,1.76
4192527,2.04
4192528,2.75
4192529,84.61
